"시점","자치구별(1)","자치구별(2)",시간대별(1),시간대별(2),발생건수,사망자수,부상자수
"2018","합계","소계",합계,소계,38795,304,53751
"2018","합계","소계",합계,00시-02시,2574,30,3943
"2018","합계","소계",합계,02시-04시,1701,27,2595
"2018","합계","소계",합계,04시-06시,1621,40,2346
"2018","합계","소계",합계,06시-08시,2189,33,3030
"2018","합계","소계",합계,08시-10시,3586,19,4769
"2018","합계","소계",합계,10시-12시,3438,20,4636
"2018","합계","소계",합계,12시-14시,3590,18,4882
"2018","합계","소계",합계,14시-16시,3854,17,5184
"2018","합계","소계",합계,16시-18시,4262,23,5669
"2018","합계","소계",합계,18시-20시,4655,20,6189
"2018","합계","소계",합계,20시-22시,3800,28,5341
"2018","합계","소계",합계,22시-24시,3525,29,5167
"2018","합계","종로구",합계,소계,1134,6,1546
"2018","합계","종로구",합계,00시-02시,76,1,114
"2018","합계","종로구",합계,02시-04시,40,-,60
"2018","합계","종로구",합계,04시-06시,43,-,58
"2018","합계","종로구",합계,06시-08시,64,2,93
"2018","합계","종로구",합계,08시-10시,94,-,132
"2018","합계","종로구",합계,10시-12시,108,-,136
"2018","합계","종로구",합계,12시-14시,111,1,137
"2018","합계","종로구",합계,14시-16시,118,-,168
"2018","합계","종로구",합계,16시-18시,105,-,138
"2018","합계","종로구",합계,18시-20시,131,-,162
"2018","합계","종로구",합계,20시-22시,115,1,167
"2018","합계","종로구",합계,22시-24시,129,1,181
"2018","합계","중구",합계,소계,1128,9,1506
"2018","합계","중구",합계,00시-02시,64,-,98
"2018","합계","중구",합계,02시-04시,57,-,73
"2018","합계","중구",합계,04시-06시,51,3,58
"2018","합계","중구",합계,06시-08시,60,-,95
"2018","합계","중구",합계,08시-10시,92,-,118
"2018","합계","중구",합계,10시-12시,131,1,167
"2018","합계","중구",합계,12시-14시,125,-,165
"2018","합계","중구",합계,14시-16시,118,-,159
"2018","합계","중구",합계,16시-18시,121,1,173
"2018","합계","중구",합계,18시-20시,119,3,152
"2018","합계","중구",합계,20시-22시,107,1,138
"2018","합계","중구",합계,22시-24시,83,-,110
"2018","합계","용산구",합계,소계,1330,14,1852
"2018","합계","용산구",합계,00시-02시,93,3,142
"2018","합계","용산구",합계,02시-04시,71,1,103
"2018","합계","용산구",합계,04시-06시,65,2,92
"2018","합계","용산구",합계,06시-08시,81,2,111
"2018","합계","용산구",합계,08시-10시,123,2,149
"2018","합계","용산구",합계,10시-12시,120,1,168
"2018","합계","용산구",합계,12시-14시,114,-,166
"2018","합계","용산구",합계,14시-16시,124,1,170
"2018","합계","용산구",합계,16시-18시,134,-,193
"2018","합계","용산구",합계,18시-20시,145,-,186
"2018","합계","용산구",합계,20시-22시,142,2,198
"2018","합계","용산구",합계,22시-24시,118,-,174
"2018","합계","성동구",합계,소계,1143,9,1561
"2018","합계","성동구",합계,00시-02시,71,-,97
"2018","합계","성동구",합계,02시-04시,54,2,90
"2018","합계","성동구",합계,04시-06시,57,1,99
"2018","합계","성동구",합계,06시-08시,66,-,80
"2018","합계","성동구",합계,08시-10시,109,1,134
"2018","합계","성동구",합계,10시-12시,103,1,147
"2018","합계","성동구",합계,12시-14시,96,-,132
"2018","합계","성동구",합계,14시-16시,119,-,153
"2018","합계","성동구",합계,16시-18시,122,2,144
"2018","합계","성동구",합계,18시-20시,129,1,183
"2018","합계","성동구",합계,20시-22시,112,1,147
"2018","합계","성동구",합계,22시-24시,105,-,155
"2018","합계","광진구",합계,소계,1108,10,1474
"2018","합계","광진구",합계,00시-02시,104,1,151
"2018","합계","광진구",합계,02시-04시,51,-,83
"2018","합계","광진구",합계,04시-06시,34,1,40
"2018","합계","광진구",합계,06시-08시,64,2,97
"2018","합계","광진구",합계,08시-10시,107,1,121
"2018","합계","광진구",합계,10시-12시,89,-,130
"2018","합계","광진구",합계,12시-14시,104,2,126
"2018","합계","광진구",합계,14시-16시,98,-,126
"2018","합계","광진구",합계,16시-18시,107,3,137
"2018","합계","광진구",합계,18시-20시,103,-,129
"2018","합계","광진구",합계,20시-22시,124,-,163
"2018","합계","광진구",합계,22시-24시,123,-,171
"2018","합계","동대문구",합계,소계,1699,14,2160
"2018","합계","동대문구",합계,00시-02시,70,1,103
"2018","합계","동대문구",합계,02시-04시,46,2,59
"2018","합계","동대문구",합계,04시-06시,58,2,76
"2018","합계","동대문구",합계,06시-08시,102,2,118
"2018","합계","동대문구",합계,08시-10시,170,-,222
"2018","합계","동대문구",합계,10시-12시,160,-,215
"2018","합계","동대문구",합계,12시-14시,183,2,211
"2018","합계","동대문구",합계,14시-16시,195,1,248
"2018","합계","동대문구",합계,16시-18시,212,2,260
"2018","합계","동대문구",합계,18시-20시,196,-,233
"2018","합계","동대문구",합계,20시-22시,170,1,212
"2018","합계","동대문구",합계,22시-24시,137,1,203
"2018","합계","중랑구",합계,소계,1565,10,2135
"2018","합계","중랑구",합계,00시-02시,86,1,132
"2018","합계","중랑구",합계,02시-04시,39,-,48
"2018","합계","중랑구",합계,04시-06시,75,1,116
